Frequency_Hz	Amplitude_dBm
9000.000000	-43.860931
7758988.750000	-62.633301
15508977.500000	-62.541355
23258966.250000	-63.028034
31008955.000000	-63.833237
38758943.750000	-63.355206
46508932.500000	-62.473110
54258921.250000	-62.365349
62008910.000000	-63.081894
69758898.750000	-63.532623
77508887.500000	-63.011562
85258876.250000	-62.886837
93008865.000000	-63.338623
100758853.750000	-62.905891
108508842.500000	-63.348335
116258831.250000	-61.886311
124008820.000000	-63.352070
131758808.750000	-61.835045
139508797.500000	-63.320801
147258786.250000	-62.682552
155008775.000000	-62.612495
162758763.750000	-63.494888
170508752.500000	-63.140999
178258741.250000	-63.107689
186008730.000000	-61.740665
193758718.750000	-62.876968
201508707.500000	-62.497066
209258696.250000	-62.871960
217008685.000000	-63.290504
224758673.750000	-62.103336
232508662.500000	-63.073692
240258651.250000	-63.413353
248008640.000000	-64.109894
255758628.750000	-63.987038
263508617.500000	-63.311779
271258606.250000	-62.781418
279008595.000000	-62.137913
286758583.750000	-62.856205
294508572.500000	-61.124752
302258561.250000	-63.128262
310008550.000000	-62.380352
317758538.750000	-62.833817
325508527.500000	-63.979538
333258516.250000	-62.939327
341008505.000000	-62.865669
348758493.750000	-63.266258
356508482.500000	-63.226185
364258471.250000	-62.959751
372008460.000000	-61.922478
379758448.750000	-63.148785
387508437.500000	-63.087662
395258426.250000	-62.569229
403008415.000000	-61.817451
410758403.750000	-62.683231
418508392.500000	-63.132603
426258381.250000	-62.910709
434008370.000000	-63.101353
441758358.750000	-62.468990
449508347.500000	-62.751713
457258336.250000	-62.134148
465008325.000000	-62.976112
472758313.750000	-63.800854
480508302.500000	-61.634525
488258291.250000	-62.425850
496008280.000000	-62.147343
503758268.750000	-63.049068
511508257.500000	-62.310234
519258246.250000	-62.189838
527008235.000000	-62.031769
534758223.750000	-62.799381
542508212.500000	-62.993469
550258201.250000	-62.705563
558008190.000000	-63.212704
565758178.750000	-63.283997
573508167.500000	-63.532757
581258156.250000	-63.107235
589008145.000000	-62.100216
596758133.750000	-63.033852
604508122.500000	-63.348866
612258111.250000	-63.162750
620008100.000000	-61.722885
627758088.750000	-62.747192
635508077.500000	-62.672138
643258066.250000	-62.565468
651008055.000000	-62.627438
658758043.750000	-61.715919
666508032.500000	-62.237926
674258021.250000	-62.834530
682008010.000000	-62.580856
689757998.750000	-62.374218
697507987.500000	-62.416039
705257976.250000	-63.596729
713007965.000000	-62.879543
720757953.750000	-62.937939
728507942.500000	-62.545967
736257931.250000	-63.409920
744007920.000000	-62.169765
751757908.750000	-62.958984
759507897.500000	-63.036983
767257886.250000	-62.045113
775007875.000000	-63.381752
782757863.750000	-62.582146
790507852.500000	-63.007732
798257841.250000	-62.894249
806007830.000000	-61.952633
813757818.750000	-62.601723
