Ток, мА	Задержка, пс	Мощность, мВт
10	0	1.5495787917192136
10	50	1.8312601280662073
10	100	1.0699646955666124
10	150	1.1568073749021384
20	0	0.7782534023898942
20	50	0.8432311551168143
20	100	1.9281477868575403
20	150	1.8682824190387932
30	0	1.7780449497381194
30	50	1.0611882898243128
30	100	1.1203084537412382
30	150	0.6234302738090711
40	0	1.7478495720023766
40	50	1.1566234132933744
40	100	1.2588274694691233
40	150	1.5890860721008457
50	0	1.0801199019021768
50	50	1.186273334533631
50	100	1.78996964944618
50	150	1.7987993598997312
