Ток, мА	Задержка, пс	Мощность, мВт
10	0	0.5725639596911877
10	50	1.7372004680765902
10	100	0.884822588501706
10	150	1.9990132979568913
20	0	1.8842705286246844
20	50	1.0895711294058688
20	100	1.6661544457000383
20	150	0.5087619697666216
30	0	1.9856750429404095
30	50	1.0820681140305521
30	100	0.6008051522749509
30	150	1.4306682589616337
40	0	1.1667174160512095
40	50	0.6138055249173837
40	100	0.7006483389853366
40	150	0.6937886395240378
50	0	1.216176202071129
50	50	1.503744106930164
50	100	1.8510215480491703
50	150	1.1302479328298634
